sample_ID	reads_ID	Source	Origin	Microorganism	country	clindamycin	erythromycin	linezolid	vancomycin	cefepime	cefotaxime	ceftazidime	ertapenem	imipenem	meropenem	tigecycline	colistin	sulfamethoxazole	trimethoprim
SRR2407599	SRR2407599_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407602	SRR2407602_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407603	SRR2407603_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407604	SRR2407604_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407605	SRR2407605_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407606	SRR2407606_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407607	SRR2407607_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407608	SRR2407608_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407609	SRR2407609_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407611	SRR2407611_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407612	SRR2407612_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407613	SRR2407613_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407614	SRR2407614_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407615	SRR2407615_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407616	SRR2407616_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407617	SRR2407617_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407618	SRR2407618_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407619	SRR2407619_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407620	SRR2407620_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407622	SRR2407622_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407623	SRR2407623_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407624	SRR2407624_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407625	SRR2407625_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407626	SRR2407626_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407627	SRR2407627_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407628	SRR2407628_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407629	SRR2407629_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407630	SRR2407630_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407631	SRR2407631_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407632	SRR2407632_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407633	SRR2407633_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407634	SRR2407634_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407635	SRR2407635_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407636	SRR2407636_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407637	SRR2407637_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407638	SRR2407638_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407639	SRR2407639_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407640	SRR2407640_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407641	SRR2407641_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407642	SRR2407642_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407643	SRR2407643_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407644	SRR2407644_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407645	SRR2407645_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407646	SRR2407646_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407647	SRR2407647_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407648	SRR2407648_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407649	SRR2407649_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407650	SRR2407650_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407651	SRR2407651_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407652	SRR2407652_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
