# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
89	852-PRJ1111-Escherischia-coli-360-16049134_S33	DTU2017-852-PRJ1111-Escherischia-coli-360-16049134_S33_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
90	853-PRJ1111-Escherischia-coli-360-16049218_S34	DTU2017-853-PRJ1111-Escherischia-coli-360-16049218_S34_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
91	854-PRJ1111-Escherischia-coli-360-16049438_S35	DTU2017-854-PRJ1111-Escherischia-coli-360-16049438_S35_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
92	856-PRJ1111-Escherischia-coli-360-16057220_S37	DTU2017-856-PRJ1111-Escherischia-coli-360-16057220_S37_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
93	857-PRJ1111-Escherischia-coli-360-16057230_S38	DTU2017-857-PRJ1111-Escherischia-coli-360-16057230_S38_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
94	864-PRJ1111-Escherischia-coli-360-16064004_S45	DTU2017-864-PRJ1111-Escherischia-coli-360-16064004_S45_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
95	M6374_S17	M6374_S17_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
96	M6376_S1	M6376_S1_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
97	M6427_S20	M6427_S20_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
98	M6422_S13	M6422_S13_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
99	M6348_S6	M6348_S6_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
100	M6383_S6	M6383_S6_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
101	M6388_S18	M6388_S18_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
102	M6393_S5	M6393_S5_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
103	M6395_S24	M6395_S24_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
104	M4315_S8	M4315_S8_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
105	M6389_S1	M6389_S1_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
106	M6391_S3	M6391_S3_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
107	M6392_S4	M6392_S4_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
108	M6436_S6	M6436_S6_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
109	M4057_S6	M4057_S6_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
110	M4560_S8	M4560_S8_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
111	M4764_S3	M4764_S3_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
112	M5320_S3	M5320_S3_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
113	M5321_S4	M5321_S4_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
114	M5397_S7	M5397_S7_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
115	M6349_S7	M6349_S7_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
116	M6350_S8	M6350_S8_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
117	M6351_S9	M6351_S9_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
118	M6352_S10	M6352_S10_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
119	M6353_S11	M6353_S11_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
120	M6354_S12	M6354_S12_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
121	M6355_S13	M6355_S13_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
122	M6356_S14	M6356_S14_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
123	M6357_S15	M6357_S15_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
124	M6358_S16	M6358_S16_L001_R1_001.trim.fq.gz	Human	Surveillance	S.aureus
125	M6359_S10	M6359_S10_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
126	M6360_S11	M6360_S11_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
127	M6361_S12	M6361_S12_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
128	M6362_S13	M6362_S13_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
129	M6363_S14	M6363_S14_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
130	M6364_S15	M6364_S15_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
131	M6365_S16	M6365_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
132	M6366_S17	M6366_S17_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
133	M6367_S18	M6367_S18_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
134	M6368_S19	M6368_S19_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
