# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Conneticut
## Confidential
,sample_ID,reads_ID,Source,Origin,Microorganism
207,SRR2407626,SRR2407626_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
208,SRR2407627,SRR2407627_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
209,SRR2407628,SRR2407628_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
210,SRR2407629,SRR2407629_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
211,SRR2407630,SRR2407630_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
212,SRR2407631,SRR2407631_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
213,SRR2407632,SRR2407632_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
214,SRR2407633,SRR2407633_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
215,SRR2407634,SRR2407634_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
216,SRR2407635,SRR2407635_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
217,SRR2407636,SRR2407636_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
218,SRR2407637,SRR2407637_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
219,SRR2407638,SRR2407638_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
220,SRR2407639,SRR2407639_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
221,SRR2407640,SRR2407640_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
222,SRR2407641,SRR2407641_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
223,SRR2407642,SRR2407642_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
224,SRR2407643,SRR2407643_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
225,SRR2407644,SRR2407644_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
226,SRR2407645,SRR2407645_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
