# Document with the sample ids and the antimicrobials that have been tested with
sample_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR1556103,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 8.0
SRR1574320,MIC: 2.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 4.0,MIC: 32.0
SRR1598889,MIC: 32.0,MIC: 4.0,MIC: 16.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1636987,MIC: 8.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR1783171,MIC: 4.0,MIC: 8.0,MIC: 16.0,MIC: 0.06,MIC: 1.0,MIC: 8.0,MIC: 32.0
SRR1805574,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1805653,MIC: 32.0,MIC: 32.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1813446,MIC: 1.0,MIC: 1.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR1946938,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 1.0,MIC: 4.0,MIC: 32.0
SRR1951843,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 2.0,MIC: 4.0,MIC: 4.0
SRR2070987,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR2407532,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR2407533,MIC: 32.0,MIC: 1.0,MIC: 32.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR2407534,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 4.0
SRR2407535,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR2407536,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407537,MIC: 2.0,MIC: 4.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407538,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407539,MIC: 2.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR2407541,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407543,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR2407544,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 8.0,MIC: 2.0,MIC: 32.0
SRR2407545,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 8.0,MIC: 2.0,MIC: 32.0
SRR2407546,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR2407547,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407548,MIC: 1.0,MIC: 1.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407549,MIC: 32.0,MIC: 32.0,MIC: 32.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR2407550,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 32.0
SRR2407551,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407552,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407553,MIC: 1.0,MIC: 1.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407554,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 1.0,MIC: 2.0,MIC: 32.0
SRR2407555,MIC: 1.0,MIC: 8.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407556,MIC: 32.0,MIC: 16.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407557,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR2407558,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407559,MIC: 32.0,MIC: 32.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407560,MIC: 32.0,MIC: 16.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407561,MIC: 1.0,MIC: 1.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407562,MIC: 32.0,MIC: 16.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407563,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407564,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407566,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR2407567,MIC: 1.0,MIC: 1.0,MIC: 32.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR2407568,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407569,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407570,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407571,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 4.0
SRR2407572,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407573,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407574,MIC: 1.0,MIC: 1.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407575,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407576,MIC: 32.0,MIC: 16.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407577,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407578,MIC: 1.0,MIC: 8.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 2.0,MIC: 4.0
SRR2407579,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 4.0
SRR2407580,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407581,MIC: 1.0,MIC: 4.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407582,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407583,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 4.0
SRR2407584,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407585,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR2407586,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407587,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR2407588,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR2407589,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 2.0,MIC: 32.0
SRR2407590,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR2407591,MIC: 1.0,MIC: 2.0,MIC: 2.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407592,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR2407593,MIC: 1.0,MIC: 1.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 4.0
SRR2407594,MIC: 2.0,MIC: 8.0,MIC: 8.0,MIC: 0.03,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR2407595,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 1.0,MIC: 2.0,MIC: 4.0
SRR2407596,MIC: 2.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407597,MIC: 2.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR2407598,MIC: 2.0,MIC: 2.0,MIC: 4.0,MIC: 0.015,MIC: 1.0,MIC: 4.0,MIC: 4.0
SRR2407599,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.03,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR2407602,MIC: 2.0,MIC: 4.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR2407603,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407604,MIC: 32.0,MIC: 32.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407605,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 32.0
SRR2407606,MIC: 1.0,MIC: 2.0,MIC: 4.0,MIC: 0.03,MIC: 0.5,MIC: 2.0,MIC: 32.0
SRR2407607,MIC: 1.0,MIC: 8.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 4.0,MIC: 4.0
SRR2407608,MIC: 1.0,MIC: 2.0,MIC: 2.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 4.0
SRR2407609,MIC: 32.0,MIC: 32.0,MIC: 4.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
